"Station","Lat","Long"
"WJ002.00",43.81387,-70.11409
"WJ002.50",43.8158,-70.11827
"WJ002.51",43.81479,-70.11008
"WJ003.00",43.81715,-70.11121
"WJ006.00",43.82037,-70.1056
"WJ007.12",43.82271,-70.10201
"WJ008.00",43.82545,-70.10604
"WJ009.00",43.82981,-70.09774
"WJ009.70",43.83512,-70.1005
"WJ009.80",43.83463,-70.09473
"WJ011.00",43.84243,-70.09622
"WJ014.00",43.83853,-70.08944
"WJ014.15",43.84713,-70.07999
"WJ014.17",43.84309,-70.08055
"WJ014.20",43.8395,-70.08343
"WJ014.31",43.83666,-70.08396
"WJ014.41",43.83318,-70.09039
"WJ014.50",43.83147,-70.08718
"WJ014.70",43.8227,-70.0938
"WJ014.80",43.82429,-70.09788
"WJ014.90",43.8195,-70.10038
"WJ015.00",43.81873,-70.09828
"WJ015.50",43.81407,-70.10243
"WJ016.00",43.80969,-70.10082
"WJ017.00",43.81769,-70.08841
"WJ017.50",43.82135,-70.08117
"WJ017.80",43.82629,-70.08102
"WJ018.00",43.82858,-70.07618
"WJ018.20",43.82499,-70.07568
"WJ018.60",43.82642,-70.06584
"WJ018.90",43.82197,-70.06514
"WJ019.00",43.81968,-70.06247
"WJ024.00",43.81019,-70.06952
"WJ026.00",43.8233,-70.05641
"WJ027.30",43.84177,-70.04239
"WJ027.50",43.8515,-70.02976
"WJ031.50",43.86014,-70.01419
"WJ032.00",43.85841,-70.00841
"WJ032.50",43.86674,-69.99714
"WJ033.00",43.86765,-69.99328
"WJ033.20",43.86678,-69.98621
"WJ033.70",43.86395,-69.98641
"WJ034.00",43.86179,-69.99013
"WJ035.00",43.8497,-69.99978
"WJ038.00",43.82547,-70.0261
"WJ046.00",43.82601,-70.02
"WJ047.00",43.83277,-70.01102
"WJ048.00",43.84207,-69.99653
"WJ048.50",43.85367,-69.98493
"WJ049.00",43.85181,-69.97341
"WJ049.50",43.85528,-69.96094
"WJ050.50",43.85545,-69.95219
"WJ051.00",43.84708,-69.95786
"WJ055.00",43.82139,-69.97637
"WJ056.00",43.80803,-69.99354
"WJ057.00",43.78617,-70.00534
"WJ058.00",43.77758,-70.01707
"WJ059.00",43.76883,-70.01888
"WJ060.00",43.75646,-70.0338
"WJ062.00",43.73969,-70.041
"WJ063.00",43.74712,-70.03312
"WJ064.00",43.75473,-70.03084
"WJ065.00",43.7622,-70.02175
