"","Station","median","igr","gmean","p90","nlog","median_ml","iqr_ml","gmean_ml","p90_ml","nlog_ml"
"158","WK064.10",2,0,3.50119842777936,12.4,35,0.621230586898189,1.3985199733246,1.59545317606033,12.4,35
"159","WK065.00",2,4.65,4.05479850790589,21.6,35,2,6.04440632902568,2.27053100263807,21.6,35
"160","WK066.00",2,4,4.82463782753703,23.2,50,1.31885038008562,5.38932646794296,2.66725697549978,23.2,50
"161","WK067.00",2,2.5,4.01249789177253,25.3,48,0.629520159639164,3.88829830582383,2.10438902973397,25.3,48
"162","WK068.00",2,25.675,7.27554724670245,79.9000000000001,48,2,27.0606872056014,4.5430864642331,79.9000000000001,48
"163","WK068.10",2,1.8,3.0440739923227,10.9,31,0.64912674726639,3.17802343368069,1.60337947910152,10.9,31
"164","WL005.00",2,0,2.93840944638947,10,31,0.659668299773569,1.39914436326594,1.58633651845827,10,31
"165","WL006.00",2,1,2.99276557868781,9.1,31,0.625841981050432,2.39243832101311,1.39341646824335,9.1,31
"166","WL007.00",2,0,2.68201950308678,7.75000000000001,32,0.626399840718357,1.38170052258446,1.15530311823467,7.75000000000001,32
"167","WL010.00",2,0,2.83163829781281,8,31,0.625391170364552,1.39473383408255,1.31761621295776,8,31
"168","WL011.00",2,0,2.80241566484375,8,31,0.6232165641988,1.38831559852594,1.26059659015978,8,31
"169","WL012.00",2,7.1,4.94529928601713,44,33,0.640049505513214,8.4887048511905,2.59332163331698,44,33
"170","WL014.00",2,2,3.57904019761035,11.78,33,2,3.38360827474821,2.01878227553396,11.78,33
"171","WL015.00",2,6,5.24737592932204,24.8,37,2,7.38626071213866,3.14714264251956,24.8,37
"172","WL018.00",2,13,5.85126546923851,51,36,2,14.3842084832794,3.34725331069355,51,36
"173","WL019.00",2,6.5,4.73668976416139,36.2,44,0.633087517532641,7.88681564413892,2.54766445945233,36.2,44
"174","WL020.00",2,7.1,4.98042271188527,39.72,45,2,8.47567304851954,2.87434181985649,39.72,45
"175","WL020.50",2,15,6.85882410338763,95.1999999999999,47,2,16.3979949963107,4.11471850609032,95.1999999999999,47
"176","WL021.00",2,0,2.75152878598135,10.2,30,0.637061308835378,1.38842859730049,1.41134468682296,10.2,30
"177","WL022.00",2,1.2,2.70583497262441,7.37,30,1.32560104235557,2.58484741584353,1.4965934398338,7.37,30
"178","WL022.50",2,8.5,5.08628683717303,27.4,55,2,9.88520325413143,2.96703933684693,27.4,55
"179","WL023.00",2,0,2.04674778399355,2,30,0.617505654567988,0.0431731643522363,0.825100302308066,2,30
"180","WL025.00",2,0,2.35350862038522,4,30,0.624920964890087,1.38434035474145,1.12019517839343,4,30
"181","WL026.00",2,2,2.88735073679098,6.50000000000001,30,0.645782504869844,3.38841900772055,1.53901294553227,6.50000000000001,30
"182","WL027.00",2,0,2.38308776316329,4,30,0.62004649811188,1.3924294926748,1.12556351642627,4,30
"183","WL028.00",2,0,2.32049402097921,4,30,0.619143917242575,1.3942759531282,1.00891097524269,4,30
"184","WL030.00",2,2,3.03029211361666,6.40000000000001,30,0.620791983840393,3.39197637389934,1.5456806646296,6.40000000000001,30
"185","WL031.00",2,0,2.47197502383176,4.2,30,0.631243454281701,1.39288581877451,1.16686654241402,4.2,30
"186","WL033.00",2,0,2.32156117700545,4.2,30,0.625401749808584,1.39456909405127,1.13719841100055,4.2,30
"187","WL034.50",2,0,2.51474076556741,7.67000000000001,30,0.62726464574888,1.3937379162112,1.18887485393603,7.67000000000001,30
"188","WL035.00",2,0,2.73244721718993,7.2,45,0.643251955782264,1.38720013799099,1.48963546757252,7.2,45
"189","WL036.10",2,0,2.88592781701405,10.65,46,0.62220890029561,1.39114634177346,1.4014538736903,10.65,46
"190","WL036.70",2,2,3.06754112780029,9.1,50,1.32113926663501,3.38598833927612,1.69740589161398,9.1,50
"191","WL036.80",2,5.825,4.35319712088118,32.6,30,1.31812886835509,7.20921600731128,2.41829914023629,32.6,30
"192","WL036.90",2,6.325,4.47277472927005,36.4,30,0.634125572416499,7.71362399135429,2.37483334635977,36.4,30
"193","WL037.00",2,4,3.56112171308996,12.6,33,0.646882539644126,5.38800074698547,1.94192790763786,12.6,33
"194","WL037.50",3,6,4.00889395551407,12.9,32,3,7.36570353916897,2.66533631315405,12.9,32
"195","WL038.00",2,2,2.81048259751617,6,32,0.633128702969783,3.39020897340224,1.49950798443187,6,32
"196","WL040.00",2,1,3.34584234789181,16,31,0.627902762121904,2.38777754116853,1.62032865061041,16,31
"197","WL042.00",4,6.825,4.82221238139251,17,26,4,8.19644266057821,3.33722525796166,17,26
"198","WL042.10",2,4,3.99832135576779,28.3,48,2,5.38719486034727,2.38062143104451,28.3,48
"199","WL043.10",2,0.5,2.80442964800207,5.95,32,1.32611085691806,1.88814361704968,1.55234837864608,5.95,32
"200","WL044.00",2,0,2.65591106993858,7.6,33,0.633068897872581,1.39113063684638,1.2120899016289,7.6,33
"201","WL044.40",2,0,2.96345760588213,11.9,52,0.632920086476039,1.39079802971537,1.52641231756081,11.9,52
"202","WL046.00",2,0.4,3.16001086889247,7.3,36,0.641193739436366,1.78348268581065,1.69669866522564,7.3,36
"203","WL046.50",2,0,2.42734485980792,4,31,2,1.37819238048564,1.42949461111463,4,31
"204","WL047.00",2,4,4.00066410784194,16.8,35,2,5.38886827499415,2.25047992856494,16.8,35
"205","WL048.00",2,3,3.39819916151246,16.4,39,0.641512416632976,4.38624775963796,1.80283381295828,16.4,39
"206","WL048.50",2,0,2.40185963571993,4,32,0.63751772451662,1.38669732394629,1.23757937363193,4,32
"207","WL049.00",2,0,2.35039273657167,4,32,0.620748913360945,1.40526936588487,0.998211283216158,4,32
"208","WL050.00",2,0,2.34327916399049,3.64,30,1.3193458797124,1.38807855419795,1.29521259298536,3.64,30
"209","WL051.00",2,0,2.48470960088934,4.40000000000001,30,0.621153239794797,1.39512120409246,1.12950334312691,4.40000000000001,30
"210","WL052.00",2,2,2.86662802347319,6,30,0.630973891631752,3.38800988411265,1.46837429482069,6,30
"211","WL053.00",2,0,2.70832371023547,4,31,0.619550731942747,1.39501736441318,1.2117616051799,4,31
"212","WL054.00",2,0,2.31235870014674,3.64,30,0.62365593461779,1.39226621117012,1.01142449540211,3.64,30
"213","WL057.00",2,0,2.40605652118997,2,31,0.62086835888616,1.39779806407249,1.07155038011122,2,31
"214","WL060.00",2,0,2.55866736268418,6,30,0.622817710660273,1.0588707336738,1.07681493799593,6,30
"215","WL063.00",2,0,2.51008772375316,4,31,0.629235609308485,1.38311111518904,1.26683442563515,4,31
"216","WL066.00",2,0,2.35206956531936,4,30,0.624536336209838,0.0345698523546318,0.918077936569333,4,30
"217","WL068.00",2,2,3.00242168022416,6,31,0.634816678944078,3.38996490452557,1.50933439428482,6,31
"218","WL070.00",2,1.5,2.74476250656222,8,30,0.645631156052737,2.89219450940751,1.45712751826113,8,30
"219","WL071.00",2,0,3.12180291564814,9.68,29,0.630067237888395,1.39431807538874,1.43985157169215,9.68,29
"220","WL073.00",2,8.75,4.87264470858617,28.4,30,2,10.1317689551551,2.81533195296346,28.4,30
"221","WL075.00",2,3.125,4.69748010193915,99.6,30,2,4.5058326684991,2.81615146676016,99.6,30
"222","WL076.00",2,3,3.78967160808177,10,31,2,4.37332746954276,2.16564756997352,10,31
"223","WL077.00",2,9,4.92052385960435,25.2000000000001,48,2,10.3909825148877,2.99792578699434,25.2000000000001,48
"224","WL079.00",2,0,2.90457274437734,6.60000000000001,30,0.626197998271769,1.38880389422696,1.37547044299716,6.60000000000001,30
"225","WL081.00",2,6.825,4.75250405775889,29.19,30,2,8.21956801852557,2.72010916213933,29.19,30
"226","WL085.00",2,21.75,5.63088976790885,36.4,30,2,23.130786700173,3.63275984616708,36.4,30
"227","WL087.00",2,3.125,4.5307912201222,44.8000000000001,30,1.32228301476892,4.51762019961027,2.50262362040429,44.8000000000001,30
"228","WL087.20",2,3.125,4.22897034356749,19.8000000000001,30,0.630285306541394,4.51418797797652,2.15786683160346,19.8000000000001,30
"229","WL089.00",2,1.2,3.04828698896245,10.4,30,0.619990731313704,2.59367230351489,1.4951084602777,10.4,30
"230","WL095.50",2,1.5,3.09399818534946,12.2,30,0.63100536667741,2.89245961811386,1.52245070129434,12.2,30
"231","WL096.00",2,6.825,4.4270835618771,21.2,42,2,8.21464547567325,2.57906631021641,21.2,42
"232","WL097.00",2,0,2.08820480691501,2,30,0.618521241564765,0.0236163187176078,0.749516101061436,2,30
"233","WL098.00",2,2,3.53934758364536,12.7,32,0.642694979228324,3.38426102037453,1.8878990554128,12.7,32
"234","WL099.00",2,1.5,2.89424949821836,8,30,0.624392514973048,2.89443043398718,1.41979297257535,8,30
"235","WL101.00",2,4,4.23199401777557,24.4,33,2,5.38969643127006,2.45753398937614,24.4,33
"236","WL101.80",2,1.5,3.43416206129524,20.4,30,0.629499447995537,2.89294010227117,1.68554854849075,20.4,30
"237","WL102.00",2,1.2,2.85557990022338,8.11,30,0.62385909963567,2.59735528542398,1.34155704682303,8.11,30
"238","WL103.00",2,0,2.38553340266263,2.40000000000001,30,0.614254667083236,0.0334283641891137,0.917951859204241,2.40000000000001,30
