X,Y,OBJECTID,Station,Class,Count_,MFCount,GM,SDV,MAX_,P90,Appd_Std,Restr_Std,Lat_DD,Long_DD,Grow_Area,GlobalID
590982.628200000151992,4928690.5006,600,EL018.00,P,30,30,6.4,0.76,840,60.6,31,163,44.5058000003687,-67.8554199994963,EL,1eb094d2-a32a-4d99-b2c3-80129a00cdb8
590861.479500000365078,4929507.611199999228,602,EL020.00,P,30,30,3,0.42,220,10.6,31,163,44.5131700000105,-67.8568000004625,EL,e22abf7d-3709-4875-906c-26f6be733838
590480.675499999895692,4930307.768799999729,603,EL021.00,P,30,30,4.1,0.61,540,25.3,31,163,44.5204199996402,-67.8614500000078,EL,1925dab8-9971-4128-8edd-3b908b53f57a
373186.647699999623001,4797575.4944,613,WD019.00,CA,30,30,2.6,0.31,40,6.6,31,163,43.320329999639,-70.5639699995301,WD,daf3fff2-2e49-428c-9663-0d06030b3061
373054.367200000211596,4798566.729699999094,614,WD020.00,CA,30,30,2.7,0.23,9.1,5.4,31,163,43.3292300003416,-70.565830000169,WD,a0ed1f19-2921-4ab0-a0ca-6671f8ae6f9b
373704.3399,4798715.65799999982,616,WD022.00,CA,30,30,2.7,0.26,16,5.9,31,163,43.3306799996695,-70.5578500005896,WD,4e76c050-955a-4017-8a4e-95fa88700969
373775.549399999902,4797663.3638,617,WD024.00,CA,30,30,2.2,0.22,16,4.3,31,163,43.3212199999886,-70.5567299997325,WD,ee8c1659-64cb-47ce-ae5e-d7e89ccdf2c9
376086.976499999873,4799642.5774,622,WD028.00,P,30,30,2.9,0.31,26,7.3,31,163,43.3394199997773,-70.5286800005193,WD,437a6502-1548-4d2e-a736-dd1680fec652
376956.597900000400841,4800153.2913,623,WD031.00,P,30,30,3,0.34,26,8.6,31,163,43.3441600002401,-70.5180700001439,WD,b2b52814-c40b-4f9c-bff5-8b7410d74831
377898.209300000220537,4800078.4602,627,WD036.00,P,30,30,4.9,0.55,380,25.6,31,163,43.3436399998353,-70.50643999983,WD,02dfe2f4-3d82-4e2b-b04e-11764bbd5ad5
378473.602599999867,4800108.0921,628,WD037.00,P,30,30,3.8,0.49,50,16.4,31,163,43.3440000002633,-70.4993500000989,WD,ace24547-b7cd-4902-a5fd-bcf74b1cd5ee
